company,Date,ROE(%),EPS
1313,2015,-0.94,-0.15
1313,2014,-1.29,-0.21
1313,2013,3.2,0.52
1313,2012,6.76,1.08
1313,2011,5.81,1
1313,2010,15.79,2.66
1313,2009,10,1.74
1313,2008,0.57,0.06
1313,2007,13.99,2.47
1313,2006,14.91,2.36
1313,2005,6.31,0.92
1313,2004,6.44,1.18
1313,2003,4.39,0.61
1313,2002,5.64,0.8
1313,2001,-2.84,0.01
1313,2000,2.55,0.36
1314,2016,-3.6,-0.81
1314,2015,0.16,0.04
1314,2014,0.55,0.13
1314,2013,10.3,2.27
1314,2012,3.8,0.61
1314,2011,32.36,5.53
1314,2010,24.66,3.52
1314,2009,9.81,1.15
1314,2008,-7.18,-1.78
1314,2007,13.07,1.7
1314,2006,8.9,1.05
1314,2005,6.74,0.71
1314,2004,4.61,0.42
1314,2003,2,0.18
1314,2002,-12.63,-1.2
1314,2001,-20.93,-2.34
1314,2000,0.38,0.06
1315,2016,4.27,1.59
1315,2015,3.48,1.34
1315,2014,3.07,1.16
1315,2013,2.31,0.82
1315,2012,2.3,0.76
1315,2011,10.07,2.95
1315,2010,3.38,0.99
1315,2009,2.06,0.53
1315,2008,5.51,1.53
1315,2007,6,1.59
1315,2006,6.04,1.25
1315,2005,7.53,1.19
1315,2004,6.28,0.88
1315,2003,4.8,0.65
1315,2002,4.28,0.59
1315,2001,5.75,0.78
1315,2000,3.21,0.44
1316,2016,-5.32,-0.79
1316,2015,-6.91,-0.88
1316,2014,-2.26,-0.33
1316,2013,-16.05,-2.4
1316,2012,-10.86,-2.02
1316,2011,-4.39,-0.99
1316,2010,-2.53,-0.34
1316,2009,-0.51,0.08
1316,2008,-1.6,-0.35
1316,2007,2,0.13
1316,2006,7.45,0.61
1316,2005,-3.66,-0.68
1316,2004,1.43,-0.05
1316,2002,0.3,0.02
1316,2001,-8.16,-1.68
1316,2000,-36.94,-3.35
1319,2016,12.62,4.08
1319,2015,9.33,2.87
1319,2014,5.32,1.54
1319,2013,8.17,2.28
1319,2012,5.16,1.41
1319,2011,8.61,2.14
1319,2010,10.54,2.51
1319,2009,15.01,3.48
1319,2008,4.29,1.23
1319,2007,9.06,2.41
1319,2006,5.07,1.58
1319,2005,12.65,2.8
1319,2004,18,3.09
1319,2003,20.51,2.98
1319,2002,12.49,1.61
1319,2001,6.09,0.7
1319,2000,-2.36,-0.25
1321,2016,-0.3,-0.07
1321,2015,0.75,0.17
1321,2014,-2.89,-0.66
1321,2013,0.26,0.06
1321,2012,-2.45,-0.58
1321,2011,-4.27,-0.76
1321,2010,-5.13,-0.61
1321,2009,3.02,0.36
1321,2008,-9.65,-1.2
1321,2007,-7.62,-1.04
1321,2006,-18.13,-0.11
1321,2005,14.81,2.18
1321,2004,14.04,1.94
1321,2003,7.85,0.99
1321,2002,-1.77,-0.22
1321,2001,-4.07,-0.51
1321,2000,-7.66,-1.01
1323,2016,17.34,3.11
1323,2015,15.25,2.55
1323,2014,19.22,3.03
1323,2013,19.11,2.77
1323,2012,15.65,2.26
1323,2011,14.78,2
1323,2010,17.99,2.38
1323,2009,12.06,1.5
1323,2008,8.04,0.8
1323,2007,9.56,0.97
1323,2006,6.4,0.64
1323,2005,2.79,0.22
1323,2004,7.41,0.95
1323,2003,8,1.03
1323,2002,8.51,1.08
